FIRE_NO,VERSION_NO,FIRE_YEAR,FIRE_CAUSE,FIRELABEL,SIZE_HA,SOURCE,TRACK_DATE,LOAD_DATE,FIRE_DATE,METHOD,FCODE,SHAPE,OBJECTID,AREA_SQM,FEAT_LEN,X,Y
432a,,1919,Person,1919-432a,112.7,linens,,20070517130626,19190817,assumed_shape,JA70003000,,2398415,1127537.6246,3768.9698,,
44,,1919,Person,1919-44,3367.3,linens,,20070517130621,19190715,digitised,JA70003000,,2398416,33673049.2871,26234.2264,,
446,,1919,Person,1919-446,514.9,linens,,20070517130613,19190801,digitised,JA70003000,,2398417,5149338.3387,9748.6778,,
447,,1919,Person,1919-447,1165.7,linens,,20070517130612,19190827,digitised,JA70003000,,2398418,11657038.0412,18457.7535,,
447,,1919,Person,1919-447,97.1,linens,,20070517130612,19190827,digitised,JA70003000,,2398419,971091.5334,4301.3709,,
45,,1919,Person,1919-45,51.4,linens,,20070517130623,19190702,assumed_shape,JA70003000,,2398420,514131.8402,3181.2692,,
45,,1919,Person,1919-45,920.6,linens,,20070517130625,19190715,assumed_shape,JA70003000,,2398421,9206768.8588,16238.3764,,
45,,1919,Person,1919-45,1578.7,linens,,20070517130648,19190618,digitised,JA70003000,,2398422,15787283.3072,20084.6237,,
450,,1919,Person,1919-450,14.6,linens,,20070517130622,19190927,digitised,JA70003000,,2398423,146711.3075,1489.5028,,
456,,1919,Person,1919-456,122.5,linens,,20070517130613,19190928,digitised,JA70003000,,2398424,1225768.2648,5191.0458,,
458,,1919,Person,1919-458,80.3,linens,,20070517130612,19190927,digitised,JA70003000,,2398425,803843.5087,3890.9717,,
46,,1919,Lightning,1919-46,1504.8,linens,,20070517130649,19190730,digitised,JA70003000,,2398426,15048638.8707,20199.3661,,
553,,1919,Person,1919-553,58.5,linens,,20070517130612,19190910,digitised,JA70003000,,2398465,585842.4507,3810.7176,,
55a,,1919,Person,1919-55a,1752.2,linens,,20070517130622,19190715,digitised,JA70003000,,2398466,17522290.1421,23912.2789,,
56,,1919,Person,1919-56,109.6,linens,,20070517130620,19190828,digitised,JA70003000,,2398467,1096021.9905,4374.2978,,
56a,,1919,Person,1919-56a,39.5,linens,,20070517130610,19190709,digitised,JA70003000,,2398468,395674.4578,2658.1923,,
57,,1919,Person,1919-57,28,linens,,20070517130612,19190709,digitised,JA70003000,,2398469,280178.8826,2021.2964,,
57,,1919,Person,1919-57,44,linens,,20070517130622,19190716,digitised,JA70003000,,2398470,440248.2725,2748.6195,,
58,,1919,Person,1919-58,41,linens,,20070517130609,19190712,digitised,JA70003000,,2398471,410675.1044,2537.5361,,
58,,1919,Person,1919-58,110.6,linens,,20070517130610,19190715,digitised,JA70003000,,2398472,1106820.8382,4331.8379,,
58,,1919,Lightning,1919-58,1595.1,linens,,20070517130622,19190819,digitised,JA70003000,,2398473,15951876.0457,16185.7894,,
58,,1919,Person,1919-58,103.2,linens,,20070517130624,19190708,assumed_shape,JA70003000,,2398474,1032889.6498,4297.5047,,
58,,1919,Person,1919-58,2588.6,linens,,20070517130649,19190721,digitised,JA70003000,,2398475,25886457.5927,24221.5577,,
59,,1919,Lightning,1919-59,3183.8,linens,,20070517130618,19190725,digitised,JA70003000,,2398476,31838062.5317,32479.3835,,
59,,1919,Person,1919-59,38.5,linens,,20070517130619,19190716,digitised,JA70003000,,2398477,385698.793,2327.3295,,
487,,1919,Person,1919-487,121.2,linens,,20070517130623,19190810,assumed_shape,JA70003000,,2398441,1212518.8015,4849.7508,,
491,,1919,Person,1919-491,680.4,linens,,20070517130622,19190916,assumed_shape,JA70003000,,2398442,6804876.061,10943.8977,,
496,,1919,Person,1919-496,75.3,linens,,20070517130624,19190919,assumed_shape,JA70003000,,2398443,753533.1261,4144.1127,,
